crn|class limits|cur enroll|xlist act 1|xlist act 2|xlist act 3
16486|5|0|||
16487|5|0|||
16488|5|0|||
16489|5|0|||
16490|5|0|||
16491|5|0|||
16492|5|0|||
16493|5|0|||
16494|5|0|||
16495|5|0|||
16496|5|0|||
16497|5|0|||
16498|5|0|||
16499|5|0|||
16501|5|0|||
16502|5|0|||
16503|5|0|||
16507|999|0|||
16508|999|0|||
16509|999|0|||
16511|999|0|||
16512|999|0|||
16513|999|0|||
16515|999|0|||
16516|999|0|||
16517|999|0|||
16519|999|0|||
16520|999|0|||
16521|999|0|||
16523|999|0|||
16524|999|0|||
16525|999|0|||
16527|999|0|||
16528|999|0|||
16529|999|0|||
16531|999|0|||
16532|999|0|||
16533|999|0|||
16535|999|1|||
16536|999|1|||
16537|999|0|||
16539|5|0|||
16540|5|0|||
16541|5|0|||
16542|5|0|||
16543|5|0|||
16544|5|0|||
16546|5|0|||
16547|5|0|||
16548|5|0|||
16549|5|1|||
16550|5|0|||
16551|5|0|||
16553|5|0|||
16554|5|0|||
16555|5|0|||
16557|5|0|||
16558|5|0|||
16559|5|0|||
16560|5|0|||
16562|5|0|||
16563|5|0|||
16564|5|0|||
16565|5|0|||
16567|5|0|||
16568|5|0|||
16569|5|0|||
16570|5|0|||
16572|5|0|||
16573|5|0|||
16574|5|0|||
16575|5|0|||
16577|5|0|||
16578|5|0|||
16579|5|0|||
16580|5|0|||
16582|5|0|||
16586|5|0|||
16587|5|0|||
16588|5|0|||
16589|5|0|||
16590|5|0|||
16594|5|0|||
16595|5|0|||
16596|5|0|||
16597|5|0|||
16598|5|0|||
16599|5|0|||
16600|5|0|||
16601|5|0|||
16602|5|0|||
16603|5|0|||
16605|5|0|||
16606|5|0|||
16607|5|0|||
16608|5|0|||
16609|5|0|||
16611|5|0|||
16612|5|0|||
16615|5|0|||
16616|5|0|||
16617|5|0|||
16618|5|0|||
16621|5|0|||
16622|5|0|||
16629|5|0|||
16630|5|0|||
16631|5|0|||
16632|5|0|||
16633|5|0|||
16635|5|0|||
16636|5|0|||
16639|5|0|||
16640|5|0|||
16641|5|0|||
16642|5|0|||
16643|5|0|||
16645|5|0|||
16646|5|0|||
16649|5|0|||
16650|5|0|||
16651|5|0|||
16652|5|0|||
16653|5|0|||
16654|5|0|||
16655|999|0|||
16656|999|0|||
16657|999|0|||
16658|999|0|||
16659|999|0|||
16660|999|0|||
16661|999|0|||
16662|999|1|||
16663|999|0|||
16664|999|1|||
16665|999|0|||
16666|999|0|||
16667|5|0|||
16668|5|0|||
16671|5|0|||
16672|5|0|||
16673|5|0|||
16674|5|0|||
16677|5|0|||
16678|5|0|||
16679|999|1|||
16680|999|1|||
16681|999|1|||
16682|999|0|||
16683|999|0|||
16684|999|0|||
16685|999|0|||
16686|999|0|||
16687|999|0|||
16688|999|0|||
16689|999|0|||
16691|5|0|||
16692|5|0|||
16693|5|0|||
16695|5|1|||
16696|5|0|||
16697|5|0|||
16698|5|0|||
16699|5|0|||
16700|5|0|||
16701|5|0|||
16702|5|0|||
16703|5|0|||
16704|5|0|||
16705|5|0|||
16706|5|0|||
16707|5|0|||
16708|5|0|||
16709|5|0|||
16710|5|0|||
16711|5|0|||
16712|5|0|||
16713|5|0|||
16714|5|0|||
16715|5|0|||
16716|5|0|||
16717|5|0|||
16718|5|0|||
16719|5|0|||
16730|5|0|||
16731|5|0|||
16732|5|0|||
16734|5|0|||
16735|5|0|||
16736|5|0|||
16737|5|0|||
16739|5|0|||
16740|5|0|||
16741|5|0|||
16742|5|0|||
16744|5|0|||
16745|5|0|||
16746|5|0|||
16747|5|0|||
16749|5|0|||
16751|999|0|||
16753|999|0|||
16754|999|0|||
16755|999|1|||
16758|999|0|||
16760|999|0|||
16761|999|1|||
16762|999|1|||
16764|999|0|||
16766|999|0|||
16767|999|0|||
16769|999|0|||
16770|999|0|||
16772|999|0|||
16773|999|0|||
16775|999|0|||
16776|999|0|||
16778|999|0|||
16779|999|0|||
16781|999|0|||
16783|999|0|||
16784|999|1|||
16786|999|0|||
16788|999|0|||
16789|999|0|||
16794|999|0|||
16796|999|0|||
16797|999|0|||
16798|999|0|||
16801|999|2|||
16802|999|0|||
16807|999|0|||
16808|5|0|||
16809|5|0|||
16812|5|0|||
16813|5|0|||
16816|5|0|||
16817|5|0|||
16818|5|0|||
16819|5|2|||
16820|5|0|||
16821|5|0|||
16822|5|0|||
16823|5|0|||
16824|5|2|||
16825|5|1|||
16826|5|0|||
16827|5|0|||
16828|5|0|||
16829|5|0|||
16830|5|0|||
16831|5|0|||
16833|5|0|||
16834|5|0|||
16835|5|0|||
16836|5|1|||
16837|5|0|||
16839|5|0|||
16840|5|0|||
16841|5|0|||
16843|5|0|||
16844|5|0|||
16845|5|0|||
16846|5|0|||
16847|5|0|||
16848|5|0|||
16850|5|0|||
16851|5|0|||
16852|5|0|||
16853|5|0|||
16854|5|0|||
16855|5|0|||
16858|5|0|||
16860|5|0|||
16861|5|0|||
16868|5|0|||
16869|5|0|||
16870|5|0|||
16871|5|0|||
16872|5|0|||
16873|5|0|||
16874|5|0|||
16875|5|0|||
16876|5|0|||
16877|5|0|||
16891|5|0|||
16892|5|0|||
16893|5|0|||
16894|5|0|||
16895|5|0|||
16897|5|0|||
16898|5|0|||
16899|5|0|||
16900|5|0|||
16901|5|1|||
16902|5|1|||
16903|5|0|||
16904|5|0|||
16906|5|0|||
16907|5|0|||
16908|5|0|||
16909|999|0|||
16910|999|0|||
16911|999|0|||
16912|999|0|||
16913|999|0|||
16915|999|0|||
16916|999|0|||
16917|999|0|||
16918|999|0|||
16919|999|0|||
16920|999|0|||
16921|999|0|||
16922|999|0|||
16924|999|0|||
16925|999|0|||
16926|999|0|||
16927|999|0|||
16928|999|1|||
16929|999|0|||
16930|999|0|||
16931|999|0|||
16933|999|0|||
16934|999|0|||
16935|999|0|||
16936|999|0|||
16937|999|0|||
16938|999|0|||
16939|999|0|||
16940|999|0|||
16942|999|0|||
16943|999|0|||
16944|999|0|||
16945|999|0|||
16946|999|0|||
16947|999|0|||
16949|999|0|||
16950|999|0|||
16951|999|0|||
16953|999|0|||
16954|999|0|||
16955|999|0|||
16956|999|0|||
16959|999|1|||
16960|999|0|||
16961|999|0|||
16962|999|0|||
16968|5|1|||
16969|5|0|||
16970|999|0|||
16971|999|0|||
16972|999|0|||
16973|999|0|||
16974|999|0|||
16975|999|0|||
16977|999|0|||
16978|999|0|||
16979|999|0|||
16980|999|0|||
16981|999|0|||
16982|999|0|||
16990|35|31|||
16991|5|0|||
16992|5|0|||
16993|5|0|||
16994|5|0|||
16995|5|0|||
16996|5|0|||
